loan_id,no_of_dependents,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,education_ Not Graduate,self_employed_ Yes,loan_status
2115,5,5000000,10600000,6,839,12600000,8600000,19800000,3500000,True,True, Approved
1739,0,7600000,25200000,6,888,12700000,10900000,24500000,7500000,True,False, Approved
2454,2,1500000,4500000,14,826,3200000,1700000,4600000,1600000,True,True, Approved
4131,0,6200000,14900000,8,855,-100000,7200000,14200000,8200000,True,True, Approved
913,4,2500000,5400000,10,592,3400000,1500000,9900000,2900000,False,False, Approved
3523,1,2900000,9600000,4,658,8200000,4300000,7000000,2700000,False,False, Approved
1821,1,5100000,11800000,12,314,14700000,7600000,12400000,4900000,False,False, Rejected
1791,0,2200000,7500000,10,497,2300000,2100000,5700000,1800000,True,True, Rejected
3366,3,7800000,24400000,20,490,6700000,5100000,17700000,4100000,True,True, Rejected
2746,3,8800000,26700000,12,708,16000000,15300000,26900000,9600000,True,True, Approved
3821,4,6000000,12900000,14,723,700000,1600000,13600000,4100000,False,True, Approved
667,2,1100000,3400000,10,426,300000,800000,3900000,1400000,False,True, Rejected
779,1,2400000,8300000,6,684,5500000,3500000,5300000,2300000,False,True, Approved
3454,1,600000,1900000,8,445,1200000,100000,1600000,300000,False,True, Rejected
1040,5,600000,2300000,4,347,0,0,1900000,200000,True,False, Rejected
660,0,1200000,2700000,2,638,1500000,500000,2700000,1500000,False,True, Approved
738,2,900000,2500000,16,458,-100000,100000,3200000,1100000,False,True, Rejected
2364,2,4500000,16600000,20,704,6400000,4200000,16900000,2400000,False,False, Approved
121,5,900000,2300000,16,545,100000,200000,2700000,800000,False,False, Rejected
2209,1,300000,1000000,14,324,100000,100000,1100000,100000,False,True, Rejected
2140,4,8800000,27100000,2,406,16300000,6200000,26100000,5800000,False,True, Approved
926,5,3000000,8000000,6,333,3200000,400000,8200000,2200000,False,False, Rejected
2970,4,4500000,15800000,14,439,8900000,6900000,15200000,4400000,False,False, Rejected
2845,3,8900000,19100000,6,807,2300000,16500000,29900000,10400000,False,False, Approved
2048,1,4300000,9400000,6,543,7400000,5200000,14800000,4200000,True,True, Rejected
2479,5,7400000,27100000,4,320,19800000,14600000,25200000,9400000,False,False, Approved
2275,0,4300000,15600000,18,440,6200000,1300000,10000000,4700000,True,True, Rejected
76,2,1900000,6500000,18,671,600000,2500000,4800000,1100000,True,False, Approved
1285,2,700000,2600000,20,489,100000,200000,2400000,900000,False,False, Rejected
346,4,4200000,16800000,6,381,9600000,3800000,14800000,5900000,False,False, Rejected
1985,2,6100000,15500000,8,758,8900000,4000000,13300000,7200000,False,True, Approved
565,5,2000000,6100000,2,407,1900000,1900000,4600000,2000000,False,False, Approved
2288,2,200000,800000,6,338,100000,0,400000,100000,True,False, Rejected
2594,2,4800000,15300000,12,503,3300000,4000000,12000000,4300000,False,True, Rejected
2908,5,7700000,20300000,12,806,21300000,13300000,18900000,9600000,True,False, Approved
701,0,7600000,17900000,16,788,1700000,7800000,27100000,5900000,False,True, Approved
575,0,8400000,17500000,18,411,13200000,5300000,31300000,10400000,False,False, Rejected
1185,2,8800000,19000000,14,637,13700000,13900000,27100000,6100000,True,False, Approved
1890,5,6900000,18600000,18,307,3500000,4800000,25300000,4200000,False,True, Rejected
1632,2,7100000,18800000,12,838,1100000,5200000,16600000,4900000,False,True, Approved
3107,0,5600000,11600000,12,466,15000000,7400000,21800000,7500000,False,False, Rejected
4082,2,4400000,16800000,4,307,12800000,7200000,9700000,5800000,True,True, Approved
2879,4,3800000,11100000,16,857,11300000,7400000,11700000,4700000,False,True, Approved
4247,1,3100000,11500000,4,871,1500000,2400000,7100000,3600000,False,True, Approved
2334,2,4400000,16500000,16,879,7800000,7500000,10300000,5400000,True,False, Approved
1324,4,1600000,5100000,8,705,2400000,800000,5100000,1900000,True,False, Approved
2870,4,9900000,26100000,2,481,14500000,5000000,23600000,9300000,False,False, Rejected
3035,0,3100000,7100000,10,498,3800000,1100000,12200000,4300000,False,True, Rejected
4209,3,8300000,17700000,16,848,10500000,1100000,18700000,5900000,False,False, Approved
3587,2,2200000,8100000,8,710,500000,2900000,7300000,1000000,False,True, Approved
1843,0,2100000,5900000,14,402,4400000,0,4800000,1000000,True,False, Rejected
3229,2,2700000,8500000,20,368,4900000,4500000,5900000,2100000,False,True, Rejected
1292,3,6500000,18200000,20,405,10400000,2800000,21300000,6700000,True,True, Rejected
230,3,1100000,3500000,12,503,3000000,400000,2200000,1200000,True,True, Rejected
3705,1,2100000,5300000,20,461,1500000,3800000,8100000,1700000,True,False, Rejected
1091,4,9400000,32600000,4,898,18200000,4000000,22000000,10200000,False,False, Approved
790,2,3100000,8700000,18,544,5300000,1100000,12200000,1500000,False,False, Rejected
4269,1,9200000,29700000,10,607,17800000,11800000,35700000,12000000,False,False, Approved
4182,2,1200000,4100000,8,497,2700000,700000,3700000,1300000,True,False, Rejected
1722,3,3100000,11400000,16,562,3600000,3600000,7200000,3100000,True,True, Approved
3258,4,2700000,10400000,16,671,6100000,3700000,5600000,4000000,False,True, Approved
2090,0,800000,2600000,2,618,300000,1200000,2000000,500000,True,True, Approved
3184,2,2900000,8300000,10,693,7500000,1900000,9700000,4300000,True,True, Approved
1482,3,7500000,25100000,18,554,12500000,7900000,28500000,4700000,False,True, Approved
2379,2,5100000,13300000,14,313,5900000,7900000,18000000,3900000,True,True, Rejected
2820,0,7600000,27600000,2,437,10000000,11200000,27600000,6800000,True,True, Approved
13,3,5000000,11600000,16,311,6400000,9600000,14600000,4300000,True,True, Rejected
2348,4,8100000,28000000,8,663,8800000,11300000,26000000,5500000,True,False, Approved
895,1,5900000,16800000,4,806,11200000,9700000,22800000,7100000,False,False, Approved
708,3,8800000,26700000,10,379,10100000,15500000,27000000,9700000,True,True, Rejected
3154,0,2500000,9100000,10,852,5000000,4700000,7400000,1500000,False,True, Approved
479,3,3600000,8600000,8,790,5400000,5900000,9800000,5200000,True,True, Approved
428,4,1100000,3600000,14,711,2500000,500000,3600000,600000,False,True, Approved
3255,3,7400000,28800000,8,391,20000000,7900000,23600000,7200000,False,False, Rejected
786,2,600000,2100000,18,572,400000,500000,1400000,300000,True,True, Approved
707,3,7000000,18900000,2,691,6300000,7400000,15200000,3900000,False,False, Approved
3802,2,1000000,3700000,18,892,2200000,800000,3000000,500000,False,False, Approved
1860,0,2400000,5900000,14,319,2000000,4200000,9500000,3300000,False,True, Rejected
3329,5,7200000,21300000,2,801,9900000,1700000,20400000,7200000,False,True, Approved
4044,3,5100000,18000000,6,510,13400000,6600000,17200000,7600000,True,True, Rejected
1237,0,300000,500000,18,702,300000,400000,1200000,100000,False,False, Approved
705,5,1300000,4300000,2,595,1300000,500000,2900000,1500000,False,True, Approved
309,3,9600000,19900000,14,452,4200000,16200000,28500000,6600000,False,False, Rejected
2076,4,1700000,5600000,8,395,2700000,800000,3500000,2400000,True,False, Rejected
2198,4,9600000,19900000,6,319,3200000,16500000,28100000,6600000,False,True, Rejected
233,0,2700000,6800000,20,796,700000,4200000,7000000,1900000,True,True, Approved
1540,4,1500000,4600000,6,524,3700000,2000000,5000000,1400000,True,True, Rejected
823,2,8300000,19500000,4,415,2300000,9400000,21700000,8600000,False,True, Rejected
734,0,500000,1200000,14,556,900000,0,1800000,500000,False,False, Approved
1745,4,9300000,36700000,20,808,16500000,14700000,26500000,7100000,True,True, Approved
2996,4,2600000,8500000,4,775,600000,3800000,10400000,2600000,False,False, Approved
3065,5,4400000,15800000,4,701,4100000,6300000,17100000,4100000,False,False, Approved
1694,1,2200000,5200000,14,682,2600000,600000,6100000,1800000,True,False, Approved
2803,1,5100000,12900000,14,533,6700000,6700000,14400000,3900000,True,True, Rejected
1882,4,2600000,9400000,18,481,2700000,4400000,8600000,2400000,False,True, Rejected
1881,3,3700000,10900000,16,301,7800000,2300000,9600000,3400000,True,False, Rejected
3234,4,200000,700000,10,576,500000,100000,400000,300000,True,False, Approved
781,2,1600000,5100000,6,784,1400000,2400000,4500000,1400000,True,False, Approved
3804,0,9400000,36100000,10,615,21200000,3800000,27400000,9100000,False,True, Approved
3542,3,8800000,24900000,16,668,16700000,17200000,30000000,10500000,True,False, Approved
4089,4,2100000,8200000,20,432,6000000,900000,5600000,1000000,False,True, Rejected
3322,3,2600000,8100000,12,425,7300000,1900000,6800000,2200000,True,False, Rejected
4081,0,8300000,17500000,20,643,24800000,8900000,18800000,5100000,True,True, Approved
1511,5,3200000,10100000,6,828,8500000,6000000,8700000,3000000,True,False, Approved
3510,0,9500000,28400000,18,577,6200000,10300000,30200000,14100000,False,False, Approved
2071,5,8900000,35500000,16,480,17200000,11300000,25200000,4900000,False,False, Rejected
2106,0,5600000,19300000,18,544,6400000,2800000,19900000,6400000,True,False, Rejected
390,0,6200000,22400000,18,873,15700000,6600000,15800000,8200000,False,True, Approved
2062,1,8300000,29200000,6,877,13700000,9900000,31500000,9500000,True,False, Approved
491,3,2900000,8500000,14,834,1200000,4500000,8800000,1800000,True,False, Approved
2380,5,7300000,26200000,10,751,1400000,12200000,26700000,10400000,False,False, Approved
4084,3,7700000,22300000,20,895,22200000,13300000,23900000,9100000,False,True, Approved
3177,4,3100000,8200000,18,408,2900000,3800000,10800000,3100000,True,True, Rejected
2199,1,1000000,3900000,16,360,2500000,300000,2100000,600000,True,True, Rejected
3368,2,2900000,11000000,2,835,4900000,3200000,11500000,1400000,True,False, Approved
326,2,2700000,5700000,8,850,3500000,5000000,10500000,3900000,True,True, Approved
3302,5,3600000,8500000,20,594,4400000,6400000,7400000,4500000,False,True, Approved
2222,0,500000,1900000,2,857,1100000,500000,1800000,300000,True,False, Approved
3766,1,4600000,16700000,16,407,13000000,6000000,9800000,2800000,False,False, Rejected
574,3,3100000,11000000,2,543,5900000,2200000,9000000,2400000,False,False, Approved
800,3,5100000,10400000,18,399,8000000,4300000,20100000,4600000,True,True, Rejected
1557,5,5600000,20500000,8,873,5500000,9500000,19400000,7800000,True,True, Approved
2481,3,3400000,8900000,6,896,4200000,4800000,10200000,4200000,False,False, Approved
108,0,2700000,10600000,6,591,1300000,2700000,9900000,1800000,False,False, Approved
179,4,5600000,13300000,20,869,3300000,7500000,20000000,6500000,True,False, Approved
1092,4,600000,2100000,6,558,1300000,1000000,2200000,300000,True,True, Approved
2191,2,5600000,21000000,18,883,9800000,1600000,20900000,6000000,False,True, Approved
999,0,8900000,20900000,18,568,18800000,700000,32700000,5300000,False,True, Approved
73,5,7000000,18300000,4,418,18400000,11700000,21500000,7600000,True,False, Rejected
330,4,200000,600000,10,404,0,100000,400000,0,True,False, Rejected
3316,4,600000,2300000,6,495,1700000,600000,2000000,300000,False,True, Rejected
1614,5,6700000,17200000,18,613,9700000,6800000,24600000,7100000,False,False, Approved
3378,1,6700000,18800000,6,798,8700000,5900000,18000000,6100000,False,True, Approved
753,1,8100000,31700000,10,755,0,12700000,30100000,4700000,False,True, Approved
3911,1,1700000,6700000,16,537,4300000,2900000,3500000,1100000,False,False, Rejected
2926,2,6300000,18100000,6,671,7900000,8200000,13200000,5400000,True,True, Approved
1774,2,5500000,12400000,14,842,-100000,6800000,15800000,5800000,False,True, Approved
1703,5,6100000,17800000,6,849,2900000,10900000,16100000,7800000,False,False, Approved
2436,5,9600000,20600000,6,456,17300000,11000000,21700000,11600000,False,True, Rejected
189,5,7300000,23300000,6,622,7100000,11600000,26400000,10500000,True,True, Approved
1402,3,4900000,14300000,14,439,10300000,5600000,17400000,5100000,False,True, Rejected
2428,2,9300000,22000000,14,393,4300000,3800000,28400000,13900000,False,False, Rejected
1194,2,2100000,5600000,16,426,400000,300000,7100000,1200000,True,True, Rejected
2105,5,7700000,15500000,8,407,6500000,9100000,26300000,4600000,True,True, Rejected
2377,1,3500000,13500000,12,824,8400000,3900000,11600000,4100000,True,True, Approved
469,1,6200000,16900000,2,396,10600000,7500000,23700000,7600000,False,True, Rejected
797,4,5900000,19700000,10,431,3300000,9200000,22700000,5300000,False,True, Rejected
2112,4,1700000,4500000,12,821,3200000,1900000,4900000,1500000,True,False, Approved
1566,2,3500000,13300000,4,420,6400000,1700000,8000000,2300000,True,True, Approved
3469,5,4200000,8700000,6,583,6000000,800000,8500000,2500000,False,True, Approved
666,3,5900000,22400000,6,375,6500000,10500000,18100000,4800000,True,False, Rejected
3597,2,2300000,9000000,6,583,3600000,1300000,6900000,3400000,True,True, Approved
1728,4,3900000,11000000,2,786,7900000,1600000,10700000,2100000,False,False, Approved
1708,1,1400000,4100000,20,530,1200000,1100000,3000000,1900000,True,False, Rejected
1160,2,7700000,27300000,16,758,7300000,4600000,24800000,9100000,True,False, Approved
2816,1,6600000,24800000,4,500,8600000,4100000,16700000,6100000,False,False, Approved
3471,3,8300000,25900000,8,696,14400000,12200000,23500000,7100000,True,True, Approved
4196,1,7100000,26000000,16,727,4300000,9500000,18900000,8900000,False,False, Approved
278,0,1500000,4900000,12,651,1600000,2800000,4600000,800000,True,False, Approved
4106,2,2100000,8100000,4,592,2000000,2500000,7900000,2700000,False,True, Approved
2789,0,2600000,9900000,20,368,3600000,1500000,5200000,2000000,True,True, Rejected
3203,5,4800000,13100000,6,717,8300000,8900000,18300000,2800000,True,True, Approved
1124,0,9100000,18300000,14,458,6100000,9200000,34100000,10000000,True,False, Rejected
2611,1,5800000,13000000,12,862,11300000,8400000,12000000,3900000,False,True, Approved
3239,3,8000000,25300000,4,306,22300000,7300000,24400000,6600000,False,True, Approved
1408,2,6100000,22300000,10,733,12100000,9700000,17200000,5600000,True,True, Approved
4041,1,7800000,23300000,6,620,3500000,2100000,22200000,7600000,False,True, Approved
646,4,4900000,11400000,8,470,12000000,7500000,14700000,4800000,True,False, Rejected
1938,2,1700000,3700000,20,558,4100000,1400000,5000000,2500000,False,False, Approved
1094,2,3800000,14400000,2,301,2300000,1400000,7600000,2400000,False,True, Rejected
2172,5,5900000,13800000,14,397,12400000,600000,20400000,3000000,False,False, Rejected
3889,1,9100000,23300000,18,792,800000,12600000,32100000,12400000,True,False, Approved
778,2,4300000,9400000,2,485,11000000,8100000,11000000,2200000,False,False, Rejected
3978,5,7600000,18000000,12,452,7900000,4300000,23800000,4700000,False,True, Rejected
3403,3,9200000,28900000,8,538,13900000,8300000,32400000,4900000,True,True, Rejected
4172,1,8400000,26200000,14,643,19400000,11500000,17900000,6900000,False,True, Approved
2532,4,5700000,21900000,2,871,3200000,1700000,14400000,6100000,False,False, Approved
3844,4,8400000,29000000,2,463,12700000,1100000,20100000,6700000,True,False, Approved
3382,4,3400000,10500000,16,543,3100000,4500000,11100000,4500000,True,False, Rejected
808,3,3300000,12700000,16,608,3600000,6200000,12600000,4500000,True,True, Approved
2206,1,9900000,30900000,20,559,12100000,6100000,38600000,12100000,True,True, Approved
1752,1,7500000,19900000,10,669,1800000,8800000,18100000,7300000,False,True, Approved
4063,4,8300000,24600000,2,382,1400000,1200000,16700000,6600000,False,False, Rejected
2104,5,4100000,10100000,4,792,4400000,6100000,8600000,4900000,False,True, Approved
1582,1,9100000,30100000,14,890,17800000,12400000,32500000,7500000,False,False, Approved
2173,2,600000,2100000,16,425,900000,500000,2300000,300000,False,False, Rejected
3781,3,600000,1700000,4,576,400000,100000,2100000,500000,False,True, Approved
2250,1,7000000,21000000,20,554,16900000,6600000,14600000,5600000,False,False, Approved
3541,1,7900000,15800000,8,551,800000,3500000,18700000,8300000,False,False, Approved
207,2,9800000,20900000,12,768,3400000,10200000,38600000,13400000,False,False, Approved
3286,0,9400000,35500000,16,592,9300000,11800000,30500000,5800000,True,True, Approved
